"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Roosendaal","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20080228,20080228,20080124,20080101,20170308,0,20080228,"",2020,20210506
"Steenbergen","H","01","Eenmanszaak","01192","Teelt snij-bloemen/heesters onder glas  ","","","","","N","N",0,0,20080124,19990101,0,0,0,"",0,0
"Raamsdonksveer","H","01","Eenmanszaak","7112","Ingenieurs/overig techn. ontwerp/advies","","","","","","",0,0,20080124,20080131,0,0,0,"",0,0
"Goes","","74","Stichting","94997","Overige belangenbehartiging (rest)","","","","","","",20080124,20080124,0,0,0,0,0,"",0,0
"Middelburg","","72","Vereniging met beperkte rechtsbevoegdheid","64303","Beleggingsinst. met beperkte toetreding","","","","","","",20080101,0,0,0,0,0,0,"",0,0
"Geertruidenberg","","71","Vereniging met volledige rechtsbevoegdheid","94991","Gezelligheidsverenigingen","","","","","","",20080121,20080121,0,0,0,0,0,"",0,0
"Breda","H","41","Besloten vennootschap met gewone structuur","70221","Organisatie-adviesbureaus","","","","","N","N",20080121,20080121,20080124,20080121,0,0,0,"",2020,20211207
"Rijsbergen","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","","",20080122,20080122,20080124,20080122,0,0,0,"",2020,20210831
"Breda","H","01","Eenmanszaak","45205","Overige gespec. reparatie/slepen auto's","45112","Handel/rep. personen-/lichte bedr.auto's","4941","Goederenvervoer over weg (geen verhuiz.)","N","N",0,0,20080124,20080124,20200115,0,0,"",0,0
"Vinkeveen","H","41","Besloten vennootschap met gewone structuur","6202","Advisering ohgv informatietechnologie","6420","Financiële holdings","","","N","N",20051011,20051011,20190102,20051011,20181205,0,0,"",2009,20110314
"Dordrecht","H","01","Eenmanszaak","7112","Ingenieurs/overig techn. ontwerp/advies","1103","Verv. cider en overige vruchtenwijnen","46499","GH ov. consumentenart. (non-food) (rest)","N","N",0,0,20080124,20080124,0,0,0,"",0,0
"Nieuwerkerk ad IJssel","H","01","Eenmanszaak","6202","Advisering ohgv informatietechnologie","70221","Organisatie-adviesbureaus","","","N","N",0,0,20080124,20080125,0,0,0,"",0,0
"Rotterdam","","71","Vereniging met volledige rechtsbevoegdheid","94997","Overige belangenbehartiging (rest)","","","","","","",20080121,20080121,0,0,0,0,0,"",0,0
"Gouda","H","01","Eenmanszaak","4312","Grondverzet","","","","","N","N",0,0,20080124,20080201,20211221,0,0,"",0,0
"Numansdorp","H","71","Vereniging met volledige rechtsbevoegdheid","88993","Lokaal welzijnswerk","","","","","N","N",20080122,20080122,20111107,20080122,0,0,0,"",0,0
"Vlaardingen","H","01","Eenmanszaak","7320","Markt- en opinieonderzoekbureaus","70221","Organisatie-adviesbureaus","","","N","N",0,0,20080124,20080201,20121218,0,0,"",0,0
"Barendrecht","","71","Vereniging met volledige rechtsbevoegdheid","90011","Beoefening van podiumkunst","","","","","","",20080121,20080121,0,0,0,0,0,"",0,0
"Son en Breugel","H","01","Eenmanszaak","4332","Bouwtimmeren","","","","","N","N",0,0,20170227,20080124,20170128,0,0,"",0,0
"Bosch en Duin","","74","Stichting","64303","Beleggingsinst. met beperkte toetreding","","","","","","",20080117,20080117,0,0,0,0,0,"",0,0
"Poortugaal","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20080118,20080118,20080124,20080118,20121203,0,0,"",2020,20210913
"Poortugaal","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20080118,20080118,20080124,20080118,20121203,0,0,"",2020,20210913
"Hardinxveld-Giessendam","","74","Stichting","69209","Overige administratiekantoren","","","","","","",20071228,20071228,0,0,0,0,0,"",0,0
"Haastrecht","H","41","Besloten vennootschap met gewone structuur","01451","Fokken en houden van schapen","4611","HB landbouwprod., levende dieren e.d.","","","J","J",20080530,20080530,20080124,20080101,0,0,20080530,"",2021,20220613
"Krimpen Aan De Lek","H","41","Besloten vennootschap met gewone structuur","43991","Heien en andere funderingswerkzaamheden","","","","","N","N",20080123,20080123,20080124,20080123,20131004,0,0,"",2020,20211228
